aircraft_type,mzfw_kg,max_fuel_l,seats_typ,cargo_capacity,range_km,tas_knots,wingspan_m,length_m,height_m,oew_kg
A20N,62500,27200,170,37.42,6200,450,35.8,37.57,11.76,44300
A21N,75600,32940,200,51.72,7400,450,35.8,44.51,11.76,50100
A310,113114,61070,220,112.2,8050,480,43.9,46.66,15.8,77400
A319,58500,30190,124,27.66,6950,450,35.8,33.84,11.76,40800
A320,62500,27200,150,37.42,6200,450,35.8,37.57,11.76,42600
A321,75600,32940,200,51.72,7400,450,35.8,44.51,11.76,48500
A332,176000,139090,253,132.4,15094,470,64,58.82,17.39,120600
A333,175000,97530,295,158.4,11750,475,60.3,63.66,16.79,129400
A343,183000,147850,295,158.4,13500,490,60.3,63.69,16.99,131000
A359,195700,166488,325,206.02,15372,490,64.75,66.8,17.05,142400
AT76,21000,6250,78,10.6,1370,270,27.05,27.17,7.65,13010
B38M,65952,25817,178,43.6,6480,453,35.92,39.52,12.29,45070
B39M,70987,25817,178,51.3,6575,453,35.9,42.16,12.29,48000
B737,54658,26022,128,27.4,4630,460,34.32,33.63,12.57,37648
B738,62732,26022,162,44.1,5440,460,35.79,39.47,12.55,41413
B739,63639,26022,180,52.5,5084,460,34.32,42.11,12.55,44677
B752,83460,42680,200,47.3,7223,470,38,54.4,13.6,58440
B763,133810,91380,269,114.1,11306,460,47.57,54.94,16.13,90000
B772,190470,117300,305,160.3,9650,480,60.93,63.73,18.42,138100
B773,224530,169210,368,213.9,11029,490,60.9,73.9,18.5,160530
B77W,237680,181280,365,201.7,14685,490,64.8,73.9,18.5,167829
B788,161025,126206,248,136.7,13530,470,60.12,56.72,16.92,120000
B789,181436,126429,296,172.4,14010,490,60.12,62.81,17.02,129000
BCS1,52200,21805,110,23.28,6390,445,35.1,35,11.5,35220
BCS3,55792,21918,140,31.14,6297,445,35.1,38.7,11.5,37080
C56X,6804,3821.25,9,2.26,3704,430,17,15.8,5.2,5806
CRJ9,31751,10989,80,16.8,2885,450,23.24,36.24,7.35,21845
E190,40800,16029,94,22.63,4537,460,28.72,36.24,10.57,27837
E195,42500,16029,100,25.4,3704,447,28.72,38.65,10.55,28667
E290,45750,16029,106,22.63,5278,460,28.7,36.2,10.6,33000
