iter	Passed	Remaining
411	4052	21757
412	4063	21752
413	4073	21742
414	4082	21730
415	4092	21720
416	4102	21712
417	4111	21699
418	4122	21694
419	4132	21687
420	4142	21677
421	4152	21666
422	4161	21655
423	4172	21649
424	4181	21636
425	4191	21625
426	4201	21619
427	4210	21605
428	4221	21597
429	4229	21581
430	4239	21573
431	4249	21560
432	4258	21548
433	4267	21534
434	4277	21525
435	4288	21519
436	4298	21511
437	4308	21501
438	4317	21486
439	4326	21476
440	4338	21474
441	4346	21455
442	4356	21450
443	4367	21442
444	4376	21432
445	4385	21417
446	4395	21407
447	4404	21393
448	4414	21384
449	4424	21374
450	4434	21366
451	4444	21356
452	4454	21349
453	4464	21339
454	4474	21328
455	4483	21318
456	4493	21306
457	4504	21300
458	4513	21287
459	4523	21280
460	4532	21268
461	4543	21259
462	4553	21251
463	4562	21239
464	4573	21232
465	4582	21219
466	4590	21202
467	4599	21189
468	4609	21178
469	4618	21168
470	4628	21158
471	4639	21155
472	4648	21140
473	4660	21137
474	4669	21125
475	4678	21111
476	4688	21101
477	4697	21091
478	4708	21083
479	4718	21074
480	4727	21063
481	4737	21055
482	4749	21051
483	4757	21036
484	4766	21023
485	4776	21013
486	4786	21002
487	4795	20988
488	4803	20973
489	4813	20965
490	4823	20955
491	4834	20951
492	4843	20937
493	4854	20930
494	4862	20914
495	4869	20890
496	4878	20877
497	4888	20871
498	4898	20861
499	4908	20851
500	4918	20840
501	4927	20828
502	4936	20814
503	4945	20800
504	4956	20796
505	4966	20787
506	4975	20777
507	4985	20768
508	4996	20760
509	5006	20751
510	5016	20741
511	5025	20730
512	5034	20717
513	5043	20704
514	5052	20689
515	5060	20673
516	5069	20660
517	5080	20654
518	5089	20643
519	5100	20637
520	5110	20628
521	5119	20615
522	5129	20606
523	5139	20596
524	5149	20586
525	5158	20575
526	5169	20569
527	5179	20561
528	5188	20546
529	5198	20539
530	5208	20529
531	5218	20519
532	5227	20508
533	5238	20502
534	5247	20491
535	5257	20481
536	5267	20470
537	5277	20460
538	5287	20452
539	5297	20443
540	5306	20432
541	5316	20422
542	5326	20414
543	5336	20404
544	5345	20392
545	5356	20385
546	5365	20374
547	5375	20364
548	5385	20353
549	5394	20342
550	5404	20334
551	5414	20325
552	5425	20318
553	5436	20313
554	5446	20303
555	5455	20290
556	5465	20282
557	5474	20270
558	5484	20261
559	5494	20250
560	5503	20237
561	5512	20227
562	5523	20218
563	5531	20205
564	5540	20191
565	5550	20181
566	5560	20171
567	5570	20162
568	5580	20152
569	5590	20144
570	5600	20137
571	5610	20127
572	5620	20118
573	5628	20101
574	5639	20094
575	5649	20088
576	5659	20078
577	5668	20066
578	5678	20057
579	5689	20049
580	5699	20041
581	5709	20031
582	5719	20023
583	5731	20020
584	5741	20013
585	5751	20003
586	5760	19991
587	5774	19995
588	5787	19997
589	5799	19993
590	5810	19986
591	5819	19976
592	5829	19965
593	5839	19957
594	5848	19942
595	5857	19932
596	5868	19924
597	5877	19912
598	5886	19899
599	5895	19888
600	5905	19877
601	5915	19867
602	5924	19857
603	5932	19841
604	5944	19837
605	5953	19825
606	5963	19816
607	5973	19805
608	5982	19793
609	5991	19782
610	6000	19770
611	6011	19762
612	6020	19751
613	6030	19741
614	6041	19735
615	6051	19727
616	6061	19716
617	6071	19707
618	6081	19698
619	6091	19688
620	6100	19676
621	6109	19663
622	6118	19653
623	6130	19648
624	6140	19638
625	6149	19628
626	6159	19616
627	6168	19606
628	6178	19596
629	6188	19587
630	6200	19584
631	6211	19576
632	6220	19565
633	6232	19562
634	6241	19550
635	6251	19542
636	6261	19532
637	6270	19520
638	6281	19513
639	6291	19503
640	6299	19487
641	6308	19477
642	6319	19468
643	6330	19462
644	6339	19450
645	6348	19438
646	6358	19429
647	6368	19419
648	6378	19412
649	6388	19401
650	6399	19394
651	6409	19386
652	6419	19376
653	6428	19365
654	6438	19355
655	6449	19348
656	6460	19341
657	6469	19330
658	6479	19320
659	6489	19310
660	6499	19302
661	6508	19289
662	6517	19277
663	6528	19270
664	6538	19261
665	6548	19251
666	6557	19241
667	6566	19227
668	6575	19216
669	6586	19207
670	6595	19196
671	6605	19187
672	6615	19177
673	6626	19170
674	6636	19162
675	6646	19154
676	6656	19144
677	6666	19133
678	6676	19123
679	6687	19119
680	6698	19111
681	6710	19108
682	6720	19099
683	6729	19087
684	6739	19078
685	6749	19068
686	6759	19059
687	6769	19048
688	6779	19038
689	6789	19029
690	6799	19019
691	6809	19010
692	6819	19001
693	6825	18981
694	6834	18968
695	6845	18961
696	6852	18946
697	6862	18934
698	6871	18922
699	6881	18915
700	6891	18904
701	6900	18893
702	6910	18884
703	6919	18872
704	6929	18861
705	6939	18851
706	6949	18843
707	6960	18836
708	6971	18829
709	6983	18825
710	6992	18814
711	7003	18807
712	7013	18796
713	7022	18786
714	7033	18779
715	7044	18771
716	7054	18763
717	7063	18751
718	7073	18740
719	7084	18734
720	7094	18725
721	7106	18720
722	7116	18710
723	7125	18699
724	7135	18691
725	7145	18680
726	7155	18670
727	7165	18661
728	7174	18650
729	7185	18642
730	7194	18632
731	7205	18623
732	7215	18613
733	7225	18604
734	7236	18597
735	7245	18586
736	7254	18575
737	7264	18564
738	7272	18549
739	7282	18539
740	7292	18531
741	7302	18522
742	7312	18512
743	7322	18502
744	7331	18491
745	7341	18480
746	7350	18469
747	7359	18458
748	7369	18447
749	7379	18438
750	7389	18428
751	7398	18418
752	7411	18415
753	7424	18414
754	7436	18409
755	7446	18399
756	7459	18398
757	7468	18384
758	7477	18374
759	7486	18362
760	7497	18353
761	7507	18344
762	7516	18333
763	7527	18325
764	7536	18314
765	7546	18303
766	7555	18293
767	7565	18283
768	7575	18273
769	7584	18262
770	7594	18252
771	7604	18241
772	7613	18231
773	7624	18224
774	7632	18210
775	7642	18199
776	7651	18188
777	7660	18176
778	7669	18163
779	7679	18155
780	7688	18144
781	7698	18132
782	7709	18125
783	7719	18117
784	7729	18107
785	7738	18095
786	7747	18084
787	7757	18073
788	7766	18063
789	7777	18054
790	7787	18045
791	7797	18037
792	7808	18029
793	7818	18018
794	7827	18008
795	7837	17998
796	7847	17988
797	7857	17980
798	7866	17966
799	7876	17957
800	7886	17948
801	7896	17938
802	7906	17930
803	7915	17919
804	7925	17908
805	7935	17899
806	7945	17890
807	7955	17880
808	7964	17868
809	7975	17860
810	7985	17851
811	7996	17844
812	8006	17835
813	8017	17826
814	8026	17816
815	8037	17808
816	8047	17799
817	8055	17784
818	8064	17773
819	8075	17765
820	8085	17757
821	8095	17746
822	8105	17737
823	8114	17726
824	8123	17715
825	8133	17704
826	8144	17696
827	8154	17688
828	8164	17677
829	8173	17667
830	8184	17658
831	8194	17650
832	8206	17644
833	8216	17634
834	8225	17622
835	8235	17613
836	8244	17601
837	8255	17595
838	8267	17588
839	8276	17578
840	8286	17568
841	8296	17559
842	8307	17551
843	8317	17541
844	8326	17529
845	8334	17516
846	8344	17506
847	8353	17495
848	8363	17486
849	8371	17472
850	8382	17463
851	8393	17456
852	8403	17446
853	8413	17437
854	8423	17428
855	8433	17417
856	8443	17408
857	8454	17401
858	8464	17391
859	8474	17382
860	8483	17370
861	8494	17362
862	8502	17350
863	8512	17340
864	8521	17329
865	8532	17321
866	8541	17309
867	8552	17301
868	8561	17291
869	8572	17282
870	8581	17271
871	8591	17262
872	8601	17251
873	8611	17243
874	8621	17233
875	8631	17222
876	8640	17211
877	8651	17204
878	8661	17193
879	8670	17183
880	8680	17173
881	8689	17162
882	8700	17153
883	8709	17144
884	8719	17134
885	8730	17125
